Name,Gang,Age,Edu,Mar,Occupation
Art,Jets,40's,J.H.,Sing.,Pusher
Al,Jets,30's,J.H.,Mar.,Burglar
Sam,Jets,20's,COL.,Sing.,Bookie
Clyde,Jets,40's,J.H.,Sing.,Bookie
Mike,Jets,30's,J.H.,Sing.,Bookie
Jim,Jets,20's,J.H.,Div.,Burglar
Greg,Jets,20's,H.S.,Mar.,Pusher
John,Jets,20's,J.H.,Маг.,Burglar
Doug,Jets,30's,H.S.,Sing.,Bookie
Lance,Jets,20's,J.H.,Mar.,Burglar
George,Jets,20's,J.H.,Div.,Burglar
Pete,Jets,20's,H.S.,Sing.,Bookie
Fred,Jets,20's,H.S.,Sing.,Pusher
Gene,Jets,20's,COL.,Sing.,Pusher
Ralph,Jets,30's,J.H.,Sing.,Pusher
Phil,Sharks,30's,COL.,Mar.,Pusher
Ike,Sharks,30's,J.H.,Sing.,Bookie
Nick,Sharks,30's,H.S.,Sing.,Pusher
Don,Sharks,30's,COL.,Mar.,Burglar
Ned,Sharks,30's,COL.,Mar.,Bookie
Karl,Sharks,40's,H.S.,Mar.,Bookie
Ken,Sharks,20's,H.S.,Sing.,Burglar
Earl,Sharks,40's,H.S.,Маг.,Burglar
Rick,Sharks,30's,H.S.,Div.,Burglar
OI,Sharks,30's,COL.,Маг.,Pusher
Neal,Sharks,30's,H.S.,Sing.,Bookie
Dave,Sharks,30's,H.S.,Div.,Pusher
